"","id","type","continuous","order","block","state_num","rev","c","state_A","mo_A","sc_A","ua_A","pd_A","ad_A","state_B","mo_B","sc_B","ua_B","pd_B","ad_B","mo2","mo3","mo4","mo5","sc2","sc3","sc4","sc5","ua2","ua3","ua4","ua5","pd2","pd3","pd4","pd5","ad2","ad3","ad4","ad5","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5"
"1",1,"TTO",1,7,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2",2,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3",3,"TTO",1,8,5,11112,0,0.300000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4",4,"TTO",1,2,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5",5,"TTO",1,4,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6",6,"TTO",1,4,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",7,"TTO",1,3,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8",8,"TTO",1,7,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",9,"TTO",1,4,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",10,"TTO",1,11,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11",11,"TTO",1,11,5,11112,0,0.399999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",12,"TTO",1,11,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13",13,"TTO",1,6,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",14,"TTO",1,8,5,11112,0,0.149999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",15,"TTO",1,8,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16",16,"TTO",1,3,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17",17,"TTO",1,6,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18",18,"TTO",1,4,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19",19,"TTO",1,8,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20",20,"TTO",1,10,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21",21,"TTO",1,3,5,11112,0,0.300000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"22",22,"TTO",1,10,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",23,"TTO",1,3,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",24,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25",25,"TTO",1,9,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
